
"Pre-1950 Homes", ,
 ,Number,,Percent,,
Sunset Park,17.4,18.2,10.4,19.1,,
Borough Park,16.7,21.2,16.4,21.6,,
East Flatbush - Flatbush,23.2,25.5,25.5,29.9,,
Canarsie - Flatlands,12.9,11.6,9.3,18.2,,
Bensonhurst - Bay Ridge,11.8,14.9,13,16.5,,
Coney Island - Sheepshead Bay,12.5,10,8.4,15.8,,
Williamsburg - Bushwick,16.5,22.2,19.8,27.5,,
Washington Heights,24.1,37.2,30,38,,
Central Harlem - Morningside Heights,25,24.1,16.9,31.9,,
East Harlem,17.1,24.6,16.4,35.8,,
Upper West Side,20.2,18.8,16.1,21.3,,
Upper East Side,16.5,14,9.9,13.1,,
Chelsea - Clinton,22.1,15.1,13.2,17.2,,
Gramercy Park - Murray Hill,13.3,10.6,8.5,14.1,,
Greenwich Village - SoHo,18.3,22.6,11.9,14.9,,
Union Square - Lower East Side,23,20.6,21.6,18.8,,
Lower Manhattan,18.9,22.6,13,15.4,,
Long Island City - Astoria,10.5,12.7,13.2,16.5,,
West Queens,14,11.8,14.2,18.7,,
Flushing - Clearview,11.3,9.5,12.6,8.6,,
Bayside - Little Neck,13.3,11.1,13.3,8.1,,
Ridgewood - Forest Hills,11.7,13.1,14.4,16.5,,
Fresh Meadows,14.9,14.1,16.9,14.3,,
Southwest Queens,7.2,6,5.4,12.3,,
Jamaica,9.9,15.6,13.3,18.3,,
Southeast Queens,9.2,11.4,15.5,13.5,,
Rockaways,7.5,10.1,11.3,21,,
Port Richmond,17.6,13.7,18.4,9.4,,
Stapleton - St. George,13.5,13.3,15.4,8.6,,
Willowbrook,9.5,12.9,12.5,7.8,,
South Beach - Tottenville,2.7,10.3,6.3,5.2,,

"Homes near Buildings with Broken or Boarded Up Windows", ,
 ,Percent,,,,
Row Labels,2002,2005,2011,,
UHF42,
Kingsbridge - Riverdale,7.1,5.9,1.7,,
Northeast Bronx,7.2,7.3,6.3,,
Fordham - Bronx Pk,12.6,6.8,6.2,,
Pelham - Throgs Neck,5.6,6.3,6,,
Crotona -Tremont,14.5,19.4,5.8,,
High Bridge - Morrisania,16.4,12,9.4,,
Hunts Point - Mott Haven,21.9,18.4,8.2,,
Greenpoint,20,9.8,7.1,,
Downtown - Heights - Slope,26.8,24.2,11.1,,
Bedford Stuyvesant - Crown Heights,38.8,33.5,18.8,,
East New York,28.5,18.9,16,,
Sunset Park,13.5,9.4,6.9,,
Borough Park,11.5,8.2,9.5,,
East Flatbush - Flatbush,8.5,7.8,9.1,,
Canarsie - Flatlands,7,6.5,5.7,,
Bensonhurst - Bay Ridge,3.3,7.1,4.1,,
Coney Island - Sheepshead Bay,6.6,3.9,4.8,,
Williamsburg - Bushwick,58,32.1,25,,
Washington Heights,15.7,10.5,6.6,,
Central Harlem - Morningside Heights,56.1,38.5,18,,
East Harlem,20.1,18.3,5.4,,
Upper West Side,8.6,8.7,2.5,,
Upper East Side,9.7,2.5,3.1,,
Chelsea - Clinton,14.9,9.7,5.1,,
Gramercy Park - Murray Hill,7.4,10.3,2.7,,
Greenwich Village - SoHo,9.6,7,2.6,,
Union Square - Lower East Side,14.7,16.3,2.3,,
Lower Manhattan,10.2,8,2.5,,
Long Island City - Astoria,3.1,2.8,5.1,,
West Queens,5.5,2.8,3.3,,
Flushing - Clearview,3.5,7.3,1.5,,
Bayside - Little Neck,2.9,2,0,,
Ridgewood - Forest Hills,4.8,6,1.1,,
Fresh Meadows,3.2,4.7,1.1,,
Southwest Queens,10.1,4.1,4.1,,
Jamaica,18.5,13.3,8.5,,
Southeast Queens,6.5,6.4,5.3,,
Rockaways,13.9,9.9,5.2,,
Port Richmond,16.3,13.7,10.5,,
Stapleton - St. George,12.7,10.2,7.9,,
Willowbrook,9.2,6.9,5.4,,
South Beach - Tottenville,3.7,1.7,1.3,,

"Homes in Deteriorating or Dilapidated Buildings ", ,
 ,Percent,,,,,
Row Labels,2002,2005,2008,2011,,
UHF42,
Kingsbridge - Riverdale,6.8,3,1.5,2.8,,
Northeast Bronx,6.3,1.8,4.9,0.7,,
Fordham - Bronx Pk,10.4,9.4,7.1,2.9,,
Pelham - Throgs Neck,2.2,3.5,2.7,5.2,,
Crotona -Tremont,13.1,9.3,6.8,7,,
High Bridge - Morrisania,14.6,13.9,6.5,3,,
Hunts Point - Mott Haven,5.5,4.4,8.1,1.1,,
Greenpoint,5.4,4.6,6.4,8,,
Downtown - Heights - Slope,5.7,3.7,7.8,3.5,,
Bedford Stuyvesant - Crown Heights,5.3,3,3.6,2.4,,
East New York,4.3,3.5,5.9,3.7,,
Sunset Park,8,3.4,3.2,6.6,,
Borough Park,6.2,6.2,3.6,2.5,,
East Flatbush - Flatbush,2.4,8.5,4,2.2,,
Canarsie - Flatlands,1.2,2.2,1.5,2.8,,
Bensonhurst - Bay Ridge,3.2,1.6,2.5,3.8,,
Coney Island - Sheepshead Bay,3.5,2.5,1.6,7.6,,
Williamsburg - Bushwick,7.8,4.1,9.7,4.2,,
Washington Heights,3,6.6,6.4,3.8,,
Central Harlem - Morningside Heights,4.4,8.3,8.1,3.3,,
East Harlem,2.1,4.8,12.9,4.2,,
Upper West Side,2.9,3.3,2.4,1.3,,
Upper East Side,0.7,0.9,2.5,6.3,,
Chelsea - Clinton,2,1.7,4.7,2.4,,
Gramercy Park - Murray Hill,0.6,1.8,3.1,1.4,,
Greenwich Village - SoHo,5.9,3.6,1.4,4.8,,
Union Square - Lower East Side,9.5,4,3.7,13.3,,
Lower Manhattan,6.4,3.7,1.6,5.8,,
Long Island City - Astoria,4.5,1.6,5.1,0.5,,
West Queens,3.2,1.5,2.1,2.2,,
Flushing - Clearview,3.4,0.2,2.6,0.3,,
Bayside - Little Neck,7.4,0.4,1,0,,
Ridgewood - Forest Hills,1.6,1,0.8,2.7,,
Fresh Meadows,3.4,0.4,2.4,1.1,,
Southwest Queens,2.9,2.8,2.3,3.2,,
Jamaica,1.5,2.8,2.6,4.6,,
Southeast Queens,1,0.7,2,3.6,,
Rockaways,2.1,0.6,0,5.4,,
Port Richmond,9.5,4.7,5.3,3.1,,
Stapleton - St. George,7.4,3.8,4.1,2.3,,
Willowbrook,5.4,2.9,3,1.6,,
South Beach - Tottenville,1.5,0.6,1.1,0.5,,

"Homes with 3 or More Maintenance Deficiencies", ,
 ,Percent,,,,,
Row Labels,2002,2005,2008,2011,,
UHF42,
Kingsbridge - Riverdale,17.8,20.5,15.6,19.6,,
Northeast Bronx,15.5,18,14.9,16.5,,
Fordham - Bronx Pk,26.7,26.6,28.8,26.9,,
Pelham - Throgs Neck,13.9,16.4,16.7,18.4,,
Crotona -Tremont,33.8,33.4,27.5,35,,
High Bridge - Morrisania,30.4,32.8,34.7,33.3,,
